A / R / E,"[U' L' U: [R, U' L U L' U' L U]]","[R U': [U R' U' R U R' U', L']]"
B / Q / N,"[U, R' D R D' R' D R]","[R' D R D' R' D R, U]"
D / I / F,"[U', R' D R D' R' D R]","[R' D R D' R' D R, U']"
G / L / U,"[R U R': [R U' R' U R U' R', D]]","[R U R': [D, R U' R' U R U' R']]"
H / X / S,"[U' R: [D', R' U R U' R' U R]]","[U' R: [R' U R U' R' U R, D']]"
K / P / V,"[R': [R U' R' U R U' R', D']]","[R': [D', R U' R' U R U' R']]"
O / T / W,"[R U R': [R U' R' U R U' R', D']]","[R U R': [D', R U' R' U R U' R']]"
