A,B,ab (abacus)
A,D,Ad (Aladdin)
A,E,ale
A,F,Af (African - Black Panther)
A,G,Aang
A,H,ash
A,I,Räi (Räikkönen)
A,J,Aj
A,K,arc (Oliver - Arrow) / ak
A,L,Al (Alexis)
A,M,arm / am
A,N,Anne
A,O,草（草莓）
A,P,Alp (Alpine) / app
A,Q,aq (aquarium) / aq
A,R,art (Mona Lisa)
A,S,As (Aston Martin)
A,T,ant / at
A,U,Yau (Toby) / au
A,V,Av (Avril)
A,W,Hawk (Tony) / aw
A,X,axe / az
B,A,Ba (Babar)
B,D,bed
B,E,Beach / be
B,F,beef (steak)
B,G,bag (trash)
B,H,bûche (de Noël)
B,I,bee
B,J,badge / baj
B,K,book
B,L,blood / bol
B,M,boom
B,N,Ben
B,O,Bo
B,P,blop (Dofus)
B,Q,banque (lingot d'or)
B,R,Brew (Brewer)
B,S,boss (Time Crisis)
B,T,Bot (Bottas)
B,U,bus / bu
B,V,bave
B,W,bow
B,X,box (open)
D,A,Dan (DanDan) / da
D,B,dab (Usain)
D,E,death (Grim Reaper) / de
D,F,Duff
D,G,dog
D,H,douche
D,I,di (dino)
D,J,dij (moutarde de Dijon)
D,K,deck
D,L,doll (scary)
D,M,dame (Poppins)
D,N,dune (Aladdin)
D,O,Doom / do
D,P,Dop (Dopeul)
D,Q,duck (rubber)
D,R,deer (Bambi)
D,S,dress / des
D,T,dirt / dot
D,U,Dum (Dumbledore) / du
D,V,Dove (shampoo)
D,W,Dwayne (Johnson)
D,X,doze (Totoro)
E,A,head (Ned)
E,B,eb (eyeball)
E,D,Ed (Sheeran)
E,F,elf
E,G,egg
E,H,Eche
E,I,Ein (Einstein)
E,J,ej (ejection seat)
E,K,Ec (Ecaflip)
E,L,El (Elsa - Frozen)
E,M,em (emerald)
E,N,En (Eniripsa)
E,O,feoff
E,P,ep (épée)
E,Q,cheek (Katara)
E,R,Mer (F1 Mercedes) / er
E,S,Es (Ocon)
E,T,Fett (Boba) / et
E,U,Eur (pièce) / eu
E,V,Eve (Wall-E)
E,W,meow
E,X,ex
F,A,fan / fa
F,B,Fab (Bartez)
F,D,flood
F,E,feu
F,G,fige (Piper)
F,H,Flash
F,I,Fiat
F,J,Fudge (Cornelius) / fej
F,K,fork / fok
F,L,fly
F,M,flamme (Olympic) / fam
F,N,fun (kids)
F,O,pho
F,P,flip (Octane) / fap
F,Q,Fec (Feca)
F,R,Ferr (Ferrari)
F,S,fish
F,T,foot
F,U,fugue (orgue) / fu
F,V,fauve (tigre)
F,W,flow (flower) / few
F,X,freeze / fuzz
G,A,Gad (Elmaleh) / ga
G,B,Gob (Goblin - Kim Shin)
G,D,God (or Jesus)
G,E,gel
G,F,gaffe (Lagaffe)
G,H,glyphe / gâche
G,I,Gin (Ginny)
G,J,gauge
G,K,Greek (statue) / geek
G,L,Gilles
G,M,gomme
G,N,gnome (garden) / gun
G,O,Go
G,P,gap (hole)
G,Q,glock
G,R,Grace / gare
G,S,Gus (Cinderella)
G,T,Gates / gut
G,U,谷 (谷歌)
G,V,Giov (Giovinazzi) / gov
G,W,glow (Harry Potter wand)
G,X,Gas (Gasly)
H,A,hat / ha
H,B,Hob (Hobbit)
H,D,hood (Robin)
H,E,hell (Satan)
H,F,Huff (Hufflepuff)
